"Tabela 137 - População residente, por religião"
"Variável - População residente (Pessoas)"
"Município","Ano x Religião"
"Município","2000"
"Município","Total","Católica Apostólica Romana","Evangélicas","Outras religiosidades cristãs","Testemunhas de Jeová","Espírita","Umbanda e Candomblé","Judaica","Judaísmo","Budismo","Islâmica","Islamismo","Sem religião","Não determinada e multiplo pertencimento"
"Viçosa do Ceará (CE)","45427","42304","1549","...","122","156","...","-","...","-","-","...","1138","..."
"Acari (RN)","11189","10347","618","...","9","-","...","-","...","-","-","...","192","..."
"Açu (RN)","47904","42744","2852","...","278","134","...","-","...","-","-","...","1574","..."
"Afonso Bezerra (RN)","10867","9162","843","...","-","-","...","-","...","-","-","...","844","..."
"Água Nova (RN)","2678","2522","85","...","-","-","...","-","...","-","-","...","70","..."
"Alexandria (RN)","13772","12824","670","...","30","-","...","-","...","-","-","...","218","..."
"Almino Afonso (RN)","5195","4508","389","...","72","-","...","-","...","-","-","...","189","..."
"Alto do Rodrigues (RN)","9499","8468","495","...","-","-","...","-","...","-","-","...","529","..."
"Angicos (RN)","11626","10339","511","...","49","-","...","-","...","-","-","...","694","..."
"Antônio Martins (RN)","6757","6252","426","...","-","-","...","-","...","-","-","...","69","..."
"Apodi (RN)","34174","29211","3301","...","-","14","...","-","...","12","-","...","1525","..."
"Areia Branca (RN)","22530","17754","1979","...","138","176","...","-","...","30","-","...","2349","..."
"Arês (RN)","11323","8260","875","...","25","5","...","-","...","-","-","...","2149","..."
"Augusto Severo (RN)","9024","8580","260","...","15","-","...","-","...","-","-","...","97","..."
"Baía Formosa (RN)","7821","4603","1035","...","47","-","...","-","...","-","-","...","2008","..."
"Baraúna (RN)","18922","15939","1568","...","-","-","...","-","...","-","-","...","1374","..."
"Barcelona (RN)","3990","3779","98","...","-","-","...","-","...","-","-","...","103","..."
"Bento Fernandes (RN)","4709","3857","201","...","6","-","...","-","...","-","-","...","638","..."
"Bodó (RN)","2775","2644","123","...","-","-","...","-","...","-","-","...","8","..."
"Bom Jesus (RN)","8608","7520","372","...","-","17","...","-","...","-","-","...","645","..."
"Brejinho (RN)","10317","8579","565","...","47","5","...","-","...","-","-","...","1111","..."
"Caiçara do Norte (RN)","5842","5066","262","...","33","-","...","-","...","-","-","...","419","..."
"Caiçara do Rio do Vento (RN)","2867","2601","128","...","-","-","...","-","...","-","-","...","71","..."
"Caicó (RN)","57002","51576","2425","...","155","120","...","-","...","111","11","...","2260","..."
"Campo Redondo (RN)","9201","7913","627","...","34","-","...","-","...","-","-","...","584","..."
"Canguaretama (RN)","27011","22268","1466","...","17","12","...","-","...","-","-","...","3159","..."
"Caraúbas (RN)","18810","16294","1341","...","17","-","...","-","...","-","-","...","1129","..."
"Carnaúba dos Dantas (RN)","6572","6198","229","...","-","-","...","-","...","-","-","...","145","..."
"Carnaubais (RN)","8192","5908","331","...","-","-","...","-","...","-","-","...","1932","..."
"Ceará-Mirim (RN)","62424","55563","4107","...","191","107","...","-","...","-","-","...","2210","..."
"Cerro Corá (RN)","10839","10080","254","...","18","7","...","-","...","-","-","...","463","..."
"Coronel Ezequiel (RN)","5409","4842","306","...","-","-","...","-","...","-","-","...","261","..."
"Coronel João Pessoa (RN)","4703","4419","265","...","-","4","...","-","...","-","-","...","5","..."
"Cruzeta (RN)","8138","7859","191","...","-","-","...","-","...","-","-","...","89","..."
"Currais Novos (RN)","40791","37014","2262","...","59","45","...","-","...","-","-","...","1270","..."
"Doutor Severiano (RN)","6552","6078","412","...","-","-","...","-","...","-","-","...","54","..."
"Parnamirim (RN)","124690","93200","19123","...","949","1172","...","14","...","21","-","...","8580","..."
"Encanto (RN)","4798","4462","79","...","-","-","...","-","...","-","-","...","257","..."
"Equador (RN)","5664","5028","389","...","22","5","...","-","...","-","-","...","214","..."
"Espírito Santo (RN)","10715","9112","664","...","4","-","...","-","...","-","-","...","898","..."
"Extremoz (RN)","19572","15871","2068","...","100","96","...","-","...","-","-","...","1405","..."
"Felipe Guerra (RN)","5534","3106","791","...","-","-","...","-","...","-","-","...","1633","..."
"Fernando Pedroza (RN)","2650","2301","165","...","9","5","...","-","...","-","-","...","163","..."
"Florânia (RN)","8978","8509","224","...","-","11","...","-","...","-","-","...","230","..."
"Francisco Dantas (RN)","3021","2775","30","...","-","-","...","-","...","-","-","...","216","..."
"Frutuoso Gomes (RN)","4580","4048","362","...","-","-","...","-","...","-","-","...","156","..."
"Galinhos (RN)","1767","1599","121","...","-","-","...","-","...","-","-","...","43","..."
"Goianinha (RN)","17661","12409","2099","...","178","84","...","-","...","-","-","...","2878","..."
"Governador Dix-Sept Rosado (RN)","11772","8938","1272","...","50","-","...","-","...","-","-","...","1498","..."
"Grossos (RN)","8249","6471","1011","...","-","-","...","-","...","-","-","...","722","..."
"Guamaré (RN)","8149","5947","1231","...","-","-","...","-","...","-","-","...","909","..."
"Ielmo Marinho (RN)","10249","9600","355","...","6","-","...","-","...","-","-","...","284","..."
"Ipanguaçu (RN)","11924","11003","413","...","-","-","...","-","...","-","-","...","493","..."
"Ipueira (RN)","1902","1812","29","...","-","-","...","-","...","-","-","...","61","..."
"Itajá (RN)","6249","5856","242","...","-","-","...","-","...","-","-","...","62","..."
"Itaú (RN)","5271","4610","397","...","10","5","...","-","...","5","-","...","244","..."
"Jaçanã (RN)","7677","6612","343","...","10","-","...","-","...","-","-","...","695","..."
"Jandaíra (RN)","6124","5335","348","...","16","-","...","-","...","-","-","...","422","..."
"Janduís (RN)","5597","5035","284","...","5","-","...","-","...","-","-","...","274","..."
"Januário Cicco (RN)","7687","6555","611","...","-","30","...","-","...","-","-","...","453","..."
"Japi (RN)","6328","4810","544","...","-","-","...","-","...","-","-","...","974","..."
"Jardim de Angicos (RN)","2670","2473","187","...","-","-","...","-","...","-","-","...","11","..."
"Jardim de Piranhas (RN)","11994","11361","364","...","-","5","...","-","...","-","-","...","257","..."
"Jardim do Seridó (RN)","12041","11624","156","...","22","31","...","-","...","-","-","...","190","..."
"João Câmara (RN)","29248","25646","1495","...","30","27","...","-","...","-","-","...","1963","..."
"João Dias (RN)","2596","2385","130","...","-","-","...","-","...","-","-","...","58","..."
"José da Penha (RN)","5908","5405","385","...","46","-","...","-","...","-","-","...","48","..."
"Jucurutu (RN)","17319","15732","366","...","-","33","...","-","...","-","-","...","1144","..."
"Jundiá (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Lagoa d'Anta (RN)","5629","5082","442","...","-","-","...","-","...","-","-","...","82","..."
"Lagoa de Pedras (RN)","6395","5562","297","...","6","-","...","-","...","-","-","...","490","..."
"Lagoa de Velhos (RN)","2651","2584","54","...","-","5","...","-","...","-","-","...","8","..."
"Lagoa Nova (RN)","12058","11480","439","...","-","17","...","-","...","-","-","...","106","..."
"Lagoa Salgada (RN)","6808","6146","254","...","-","-","...","-","...","-","-","...","405","..."
"Lajes (RN)","9399","8366","415","...","-","6","...","-","...","-","-","...","605","..."
"Lajes Pintadas (RN)","4530","4224","159","...","-","6","...","-","...","-","-","...","141","..."
"Lucrécia (RN)","3218","2888","212","...","-","-","...","-","...","-","-","...","102","..."
"Luís Gomes (RN)","9154","8765","259","...","24","-","...","-","...","-","-","...","63","..."
"Macaíba (RN)","54883","46136","4917","...","164","236","...","-","...","10","-","...","3098","..."
"Macau (RN)","25700","21101","2011","...","69","101","...","-","...","-","-","...","1970","..."
"Major Sales (RN)","2948","2733","88","...","-","-","...","-","...","-","-","...","120","..."
"Marcelino Vieira (RN)","8373","7943","240","...","61","-","...","-","...","-","-","...","129","..."
"Martins (RN)","7725","7099","488","...","22","4","...","-","...","-","-","...","111","..."
"Maxaranguape (RN)","8001","7223","283","...","24","-","...","-","...","-","-","...","471","..."
"Messias Targino (RN)","3718","3330","16","...","-","-","...","-","...","-","-","...","372","..."
"Montanhas (RN)","11948","10058","465","...","19","-","...","-","...","-","-","...","1328","..."
"Monte Alegre (RN)","19270","16079","1057","...","27","-","...","-","...","-","-","...","2008","..."
"Monte das Gameleiras (RN)","2541","2486","22","...","-","-","...","-","...","-","-","...","32","..."
"Mossoró (RN)","213841","171115","27527","...","864","601","...","-","...","34","-","...","11804","..."
"Natal (RN)","712317","543254","97545","...","2370","9605","...","91","...","198","48","...","51699","..."
"Nísia Floresta (RN)","19040","16075","1483","...","54","24","...","-","...","13","-","...","1265","..."
"Nova Cruz (RN)","33834","29550","1512","...","92","-","...","-","...","-","-","...","2001","..."
"Olho d'Água do Borges (RN)","4461","4056","242","...","-","-","...","-","...","-","-","...","163","..."
"Ouro Branco (RN)","4667","4517","117","...","-","-","...","-","...","-","-","...","21","..."
"Paraná (RN)","3633","3454","25","...","-","-","...","-","...","-","-","...","154","..."
"Paraú (RN)","4092","3759","299","...","-","-","...","-","...","-","-","...","30","..."
"Parazinho (RN)","4325","3871","242","...","-","-","...","-","...","-","-","...","198","..."
"Parelhas (RN)","19319","17671","1048","...","10","47","...","-","...","-","-","...","471","..."
"Rio do Fogo (RN)","9217","8609","469","...","10","-","...","-","...","-","-","...","104","..."
"Passa e Fica (RN)","8329","7585","543","...","15","-","...","-","...","-","-","...","187","..."
"Passagem (RN)","2691","2332","69","...","-","-","...","-","...","-","-","...","278","..."
"Patu (RN)","11171","9907","741","...","6","-","...","-","...","-","-","...","510","..."
"Santa Maria (RN)","3778","3200","322","...","-","-","...","-","...","-","-","...","231","..."
"Pau dos Ferros (RN)","24758","22781","1070","...","166","77","...","-","...","-","-","...","600","..."
"Pedra Grande (RN)","4017","3644","58","...","3","-","...","-","...","-","-","...","289","..."
"Pedra Preta (RN)","2847","2582","112","...","-","-","...","-","...","-","-","...","81","..."
"Pedro Avelino (RN)","8006","7774","179","...","-","6","...","-","...","-","-","...","41","..."
"Pedro Velho (RN)","13518","11868","527","...","141","19","...","-","...","-","-","...","868","..."
"Pendências (RN)","11401","9177","767","...","9","3","...","-","...","-","-","...","1367","..."
"Pilões (RN)","3002","2487","99","...","-","-","...","-","...","-","-","...","417","..."
"Poço Branco (RN)","12506","11629","466","...","-","29","...","-","...","-","-","...","342","..."
"Portalegre (RN)","6746","6275","188","...","4","-","...","-","...","-","5","...","240","..."
"Porto do Mangue (RN)","4064","3632","313","...","-","-","...","-","...","-","-","...","117","..."
"Serra Caiada (RN)","7005","6501","123","...","50","-","...","-","...","4","-","...","323","..."
"Pureza (RN)","6963","5886","456","...","-","-","...","-","...","-","-","...","604","..."
"Rafael Fernandes (RN)","4247","4030","162","...","-","-","...","-","...","-","-","...","51","..."
"Rafael Godeiro (RN)","2953","2581","185","...","-","-","...","-","...","-","-","...","178","..."
"Riacho da Cruz (RN)","2667","2332","160","...","-","6","...","-","...","-","-","...","170","..."
"Riacho de Santana (RN)","4200","3932","152","...","71","-","...","-","...","-","-","...","42","..."
"Riachuelo (RN)","5760","5221","291","...","-","-","...","-","...","-","-","...","155","..."
"Rodolfo Fernandes (RN)","4467","4216","185","...","10","-","...","-","...","-","-","...","49","..."
"Tibau (RN)","3197","2488","468","...","-","-","...","-","...","-","-","...","241","..."
"Ruy Barbosa (RN)","3686","3490","118","...","-","-","...","-","...","-","-","...","71","..."
"Santa Cruz (RN)","31294","27736","1867","...","55","-","...","-","...","-","-","...","1610","..."
"Santana do Matos (RN)","15987","15198","555","...","-","-","...","-","...","-","-","...","186","..."
"Santana do Seridó (RN)","2377","2302","49","...","-","-","...","-","...","-","-","...","21","..."
"Santo Antônio (RN)","20107","18088","1338","...","30","-","...","-","...","-","-","...","604","..."
"São Bento do Norte (RN)","3443","3068","83","...","107","-","...","-","...","-","-","...","163","..."
"São Bento do Trairí (RN)","3244","3131","85","...","-","-","...","-","...","-","-","...","27","..."
"São Fernando (RN)","3234","3183","23","...","-","-","...","-","...","-","-","...","29","..."
"São Francisco do Oeste (RN)","3480","3241","172","...","-","-","...","-","...","-","-","...","68","..."
"São Gonçalo do Amarante (RN)","69435","53075","8797","...","125","301","...","-","...","-","-","...","6608","..."
"São João do Sabugi (RN)","5698","5402","188","...","6","6","...","-","...","-","-","...","96","..."
"São José de Mipibu (RN)","34912","31353","2531","...","56","7","...","-","...","-","-","...","819","..."
"São José do Campestre (RN)","11982","10791","503","...","30","-","...","-","...","-","-","...","544","..."
"São José do Seridó (RN)","3777","3559","161","...","-","-","...","-","...","-","-","...","52","..."
"São Miguel (RN)","20124","19678","389","...","-","-","...","-","...","-","-","...","46","..."
"São Miguel do Gostoso (RN)","7580","6687","440","...","23","-","...","-","...","5","-","...","403","..."
"São Paulo do Potengi (RN)","13822","13289","237","...","29","-","...","-","...","-","-","...","240","..."
"São Pedro (RN)","6776","6521","150","...","-","-","...","-","...","-","-","...","100","..."
"São Rafael (RN)","8201","7534","419","...","45","20","...","-","...","-","-","...","170","..."
"São Tomé (RN)","10798","10291","191","...","14","6","...","-","...","-","-","...","272","..."
